"","model1_ASC","model1_DES","model2_ASC","model2_DES","model3_ASC","model3_DES","model4_ASC","model4_DES"
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae--g__Haemophilus",0.298096892970683,0.000906862020581189,0.282159899243772,0.00177433636127276,0.314272768595806,0.00328444936443628,0.538183038952813,0.0204455452870861
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae--g__Haemophilus--__",0.297851467358784,0.00089971767419404,0.281940508336039,0.00176180064706429,0.313736700033551,0.0032517250135797,0.53770673799583,0.0203209003153107
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales--f__Rhodanobacteraceae",0.741621564075013,0.0358421399454162,0.565409296663627,0.0565670525236698,0.906461051904715,0.114568931583829,0.492345234010405,0.172101670426843
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales--f__Rhodanobacteraceae--__",0.718780011121355,0.0294616451114978,0.543882424079042,0.0457091390025242,0.921208317782055,0.0925975817444986,0.492675012627126,0.122022904622361
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales--f__Rhodanobacteraceae--__--__",0.718780011121355,0.0294616451114978,0.543882424079042,0.0457091390025242,0.921208317782055,0.0925975817444986,0.492675012627126,0.122022904622361
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__",0.597763594839052,0.528568778523554,0.497619121326329,0.36815332892498,0.494012435041419,0.273422915237656,0.655521691171778,0.357426324304337
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__--__",0.597763594839052,0.528568778523554,0.497619121326329,0.36815332892498,0.494012435041419,0.273422915237656,0.655521691171778,0.357426324304337
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__--__--__",0.597763594839052,0.528568778523554,0.497619121326329,0.36815332892498,0.494012435041419,0.273422915237656,0.655521691171778,0.357426324304337
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__--__--__--__",0.597763594839052,0.528568778523554,0.497619121326329,0.36815332892498,0.494012435041419,0.273422915237656,0.655521691171778,0.357426324304337
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Lachnoclostridium",0.348401589133613,0.211564007167785,0.206115480197303,0.135144903702041,0.188787176661346,0.141296580205843,0.206838379456109,0.147152235383329
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Lachnoclostridium--__",0.348401589133613,0.211564007167785,0.206115480197303,0.135144903702041,0.188787176661346,0.141296580205843,0.206838379456109,0.147152235383329
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria",0.623614120015721,0.372555967406008,0.725053254089805,0.360613807457505,0.932265427178904,0.339372506459221,0.810712497692979,0.372036885298422
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--g__Clostridium_sensu_stricto_1",0.105577648548964,0.0828174969726023,0.128555226751191,0.0843660639302967,0.339278741397814,0.213361856270262,0.249217521770385,0.133165446027421
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--g__Clostridium_sensu_stricto_1--__",0.105577648548964,0.0828174969726023,0.128555226751191,0.0843660639302967,0.339278741397814,0.213361856270262,0.249217521770385,0.133165446027421
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria--o__Desulfovibrionales",0.655372824224393,0.355930219726904,0.778237939238503,0.340578412765375,0.982521578450382,0.321577858327858,0.892930456775277,0.347122244095169
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria--o__Desulfovibrionales--f__Desulfovibrionaceae",0.655372824224393,0.355930219726904,0.778237939238503,0.340578412765375,0.982521578450382,0.321577858327858,0.892930456775277,0.347122244095169
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Bifidobacteriales",0.162201724719189,0.86080786704991,0.119737748951446,0.774374650787253,0.12299527452882,0.910489173159665,0.248358085987856,0.731927583839972
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Bifidobacteriales--f__Bifidobacteriaceae",0.162201724719189,0.86080786704991,0.119737748951446,0.774374650787253,0.12299527452882,0.910489173159665,0.248358085987856,0.731927583839972
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Bifidobacteriales--f__Bifidobacteriaceae--g__Bifidobacterium",0.162273967512291,0.853682984478458,0.119518040560896,0.764563719064527,0.122667407894744,0.919151843869963,0.248903096343634,0.732685532394731
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Bifidobacteriales--f__Bifidobacteriaceae--g__Bifidobacterium--__",0.180186439616357,0.861052097147016,0.136932972158066,0.798845591063574,0.123420428244586,0.958392010804336,0.255799444649357,0.766794512833227
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Enterococcaceae",0.113735419317381,0.106495518452706,0.126587419133378,0.109483521300651,0.272573767293519,0.250975880210397,0.19837816601281,0.145250050780728
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Enterococcaceae--g__Enterococcus",0.104460402924477,0.106495518452706,0.116677018668468,0.109483521300651,0.254818146358158,0.250975880210397,0.187968648365849,0.145250050780728
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Enterococcaceae--g__Enterococcus--__",0.104460402924477,0.106495518452706,0.116677018668468,0.109483521300651,0.254818146358158,0.250975880210397,0.187968648365849,0.145250050780728
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Acidaminococcaceae--g__Phascolarctobacterium--s__Ruminococcus_sp._N15.MGS-57",0.515189487933498,0.834228650769293,0.497804047012647,0.913379082475048,0.33215319336298,0.690686213326102,0.591579157393092,0.722272204542608
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--__",0.451554528798138,0.397734656673062,0.290885326686674,0.286450198169858,0.317913157456823,0.300666924933883,0.384734725471419,0.372293156704868
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--__--__",0.451554528798138,0.397734656673062,0.290885326686674,0.286450198169858,0.317913157456823,0.300666924933883,0.384734725471419,0.372293156704868
